time,fco2,fco2_std,lat1,lat2,lon1,lon2,
2013-08-25,417.902091551,13.4706581708,-36.98,51.65,-173.85,-23.95,
2013-08-26,408.932792973,10.5997815632,-36.98,51.65,-173.85,-23.95,
2013-08-27,384.607736039,8.2365929358,-36.98,51.65,-173.85,-23.95,
2013-08-28,372.11797369,2.71565137675,-36.98,51.65,-173.85,-23.95,
2013-08-29,375.397283884,6.94391242357,-36.98,51.65,-173.85,-23.95,
2013-08-30,385.264135074,7.17578416778,-36.98,51.65,-173.85,-23.95,
2013-08-31,397.063004397,14.7879834659,-36.98,51.65,-173.85,-23.95,
2013-09-01,389.239568068,5.52955593243,-36.98,51.65,-173.85,-23.95,
2013-09-02,388.516701945,2.29149698846,-36.98,51.65,-173.85,-23.95,
2013-09-03,404.320933321,25.9305933287,-36.98,51.65,-173.85,-23.95,
2013-09-04,394.476065671,17.5739141724,-36.98,51.65,-173.85,-23.95,
2013-09-05,405.540174242,17.3459607605,-36.98,51.65,-173.85,-23.95,
2013-09-06,405.373243886,15.0609262482,-36.98,51.65,-173.85,-23.95,
2013-09-07,397.478294952,17.5652168983,-36.98,51.65,-173.85,-23.95,
2013-09-08,395.338999388,19.5025403463,-36.98,51.65,-173.85,-23.95,
2013-09-09,401.997443478,22.0583271914,-36.98,51.65,-173.85,-23.95,
2013-09-10,395.707492715,25.9748585952,-36.98,51.65,-173.85,-23.95,
2013-09-11,389.892629928,22.978644448,-36.98,51.65,-173.85,-23.95,
2013-09-12,397.06774882,26.7100724895,-36.98,51.65,-173.85,-23.95,
2013-09-13,395.444685587,28.2073194696,-36.98,51.65,-173.85,-23.95,
2013-09-14,410.657082428,23.5537792573,-36.98,51.65,-173.85,-23.95,
2013-09-15,400.548218589,28.2197992415,-36.98,51.65,-173.85,-23.95,
2013-09-16,385.801787659,13.6718360722,-36.98,51.65,-173.85,-23.95,
2013-09-17,386.209512289,12.0627813223,-36.98,51.65,-173.85,-23.95,
2013-09-18,374.751743134,14.807347665,-36.98,51.65,-173.85,-23.95,
2013-09-19,386.698241286,20.9014330816,-36.98,51.65,-173.85,-23.95,
2013-09-20,362.135175093,24.2008749233,-36.98,51.65,-173.85,-23.95,
2013-09-21,365.859867727,19.364678172,-36.98,51.65,-173.85,-23.95,
2013-09-22,363.710763063,11.9865327659,-36.98,51.65,-173.85,-23.95,
2013-09-23,375.183260376,13.5331546511,-36.98,51.65,-173.85,-23.95,
2013-09-24,371.399791573,9.24483975482,-36.98,51.65,-173.85,-23.95,
2013-09-25,376.024921424,11.5110547128,-36.98,51.65,-173.85,-23.95,
2013-09-26,380.108130385,40.3514386195,-36.98,51.65,-173.85,-23.95,
2013-09-27,385.973006648,32.3126170529,-36.98,51.65,-173.85,-23.95,
2013-09-28,400.362885943,17.4460483974,-36.98,51.65,-173.85,-23.95,
2013-09-29,388.295848102,29.5730353378,-36.98,51.65,-173.85,-23.95,
2013-09-30,399.743319179,22.7781422838,-36.98,51.65,-173.85,-23.95,
2013-10-01,395.739508634,21.3766018117,-36.98,51.65,-173.85,-23.95,
2013-10-02,394.279243801,11.4671911088,-36.98,51.65,-173.85,-23.95,
2013-10-03,,,-36.98,51.65,-173.85,-23.95,
2013-10-04,366.416668939,8.51564800582,-36.98,51.65,-173.85,-23.95,
2013-10-05,363.22448979,22.9040637127,-36.98,51.65,-173.85,-23.95,
