time,lat,lon,sst,margin
2017-04-30,22.375,-156.625,25.129993335,0.2
2017-04-30,22.375,-156.375,25.129993335,0.2
2017-04-30,22.375,-156.125,25.129993335,0.2
2017-04-30,22.375,-155.875,25.129993335,0.2
2017-04-30,22.375,-155.625,25.109993335,0.2
2017-04-30,22.375,-155.375,25.089993336,0.2
2017-04-30,22.375,-155.125,25.049993337,0.2
2017-04-30,22.375,-154.875,24.979993338,0.2
2017-04-30,22.375,-154.625,24.969993338,0.2
2017-04-30,22.375,-153.875,25.219993333,0.2
2017-04-30,22.375,-153.625,25.189993333,0.2
2017-04-30,22.375,-153.375,25.079993336,0.2
2017-04-30,22.375,-152.625,24.849993341,0.2
2017-04-30,22.375,-152.375,24.769993343,0.2
2017-04-30,22.375,-149.875,24.829993341,0.2
2017-04-30,22.375,-149.625,24.859993341,0.2
2017-04-30,22.375,-149.375,24.87999334,0.2
2017-04-30,22.375,-146.875,24.639993346,0.2
2017-04-30,22.375,-146.625,24.629993346,0.2
2017-04-30,22.375,-146.375,24.559993348,0.2
2017-04-30,22.625,-161.125,24.87999334,0.2
2017-04-30,22.625,-160.875,24.43999335,0.2
2017-04-30,22.625,-160.625,24.059993359,0.2
2017-04-30,22.625,-160.375,23.969993361,0.2
2017-04-30,22.625,-160.125,24.149993357,0.2
2017-04-30,22.625,-159.875,24.579993347,0.2
2017-04-30,22.625,-159.625,24.949993339,0.2
2017-04-30,22.625,-157.625,25.119993335,0.2
2017-04-30,22.625,-157.375,25.089993336,0.2
2017-04-30,22.625,-156.625,24.929993339,0.2
2017-04-30,22.625,-156.375,24.929993339,0.2
2017-04-30,22.625,-154.875,24.949993339,0.2
2017-04-30,22.625,-154.625,25.009993337,0.2
2017-04-30,22.625,-154.375,25.149993334,0.2
2017-04-30,22.625,-154.125,25.249993332,0.2
2017-04-30,22.625,-153.875,25.239993332,0.2
2017-04-30,22.625,-153.625,25.139993335,0.2
2017-04-30,22.625,-153.375,24.989993338,0.2
2017-04-30,22.625,-152.875,24.759993343,0.2
2017-04-30,22.625,-152.625,24.719993344,0.2
2017-04-30,22.625,-152.375,24.709993344,0.2
2017-04-30,22.625,-149.625,24.749993343,0.2
2017-04-30,22.625,-149.375,24.739993344,0.2
2017-04-30,22.625,-147.375,24.599993347,0.2
2017-04-30,22.625,-147.125,24.609993346,0.2
2017-04-30,22.625,-146.875,24.599993347,0.2
2017-04-30,22.625,-146.625,24.559993348,0.2
2017-04-30,22.625,-144.625,24.049993359,0.2
2017-04-30,22.625,-144.375,23.97999336,0.2
2017-04-30,22.875,-161.375,24.839993341,0.2
2017-04-30,22.875,-161.125,24.43999335,0.2
2017-04-30,22.875,-160.875,24.049993359,0.2
2017-04-30,22.875,-160.625,23.839993364,0.2
2017-04-30,22.875,-160.375,23.879993363,0.2
2017-04-30,22.875,-160.125,24.159993356,0.2
2017-04-30,22.875,-159.875,24.579993347,0.2
2017-04-30,22.875,-159.625,25.029993337,0.2
2017-04-30,22.875,-157.625,25.129993335,0.2
2017-04-30,22.875,-157.375,25.099993335,0.2
2017-04-30,22.875,-157.125,24.939993339,0.2
2017-04-30,22.875,-154.625,24.919993339,0.2
2017-04-30,22.875,-154.375,25.079993336,0.2
2017-04-30,22.875,-154.125,25.189993333,0.2
2017-04-30,22.875,-153.875,25.159993334,0.2
2017-04-30,22.875,-152.875,24.679993345,0.2
2017-04-30,22.875,-152.625,24.679993345,0.2
2017-04-30,22.875,-152.375,24.719993344,0.2
2017-04-30,22.875,-147.625,24.45999335,0.2
2017-04-30,22.875,-147.375,24.489993349,0.2
2017-04-30,22.875,-147.125,24.489993349,0.2
2017-04-30,22.875,-146.875,24.489993349,0.2
2017-04-30,22.875,-144.875,23.929993362,0.2
2017-04-30,22.875,-144.625,23.889993363,0.2
2017-04-30,22.875,-144.375,23.869993363,0.2
2017-04-30,22.875,-142.625,23.839993364,0.2
2017-04-30,22.875,-142.375,23.869993363,0.2
2017-04-30,23.125,-162.625,25.099993335,0.2
